City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
walvis bay,-22.9575,14.5053,64.0,94,29,5.75,NA,1612663930
sobolevo,54.4299,31.8996,-4.83,92,68,8.05,RU,1612663369
palmas,-10.2128,-48.3603,77.0,94,75,2.3,BR,1612663936
aleksandrov gay,50.147,48.5704,17.2,89,71,14.88,RU,1612663939
olavarria,-36.8927,-60.3225,72.0,69,2,8.99,AR,1612663942
vydrino,51.485,104.8461,15.15,86,78,0.51,RU,1612663946
plettenberg bay,-34.0527,23.3716,68.61,73,69,6.58,ZA,1612663949
tanout,14.9709,8.8879,60.21,27,49,10.71,NE,1612663802
labrea,-7.2586,-64.7981,75.38,96,100,2.77,BR,1612663955
shiyan,32.6475,110.7781,59.0,27,100,2.33,CN,1612663844
catalao,-18.1658,-47.9464,68.2,96,100,3.06,BR,1612663828
lompoc,34.6391,-120.4579,55.4,87,1,6.91,US,1612663447
guerrero negro,27.9769,-114.0611,63.61,54,0,9.46,MX,1612663310
ligayan,4.6533,119.4706,82.0,80,100,13.15,PH,1612663971
ambulu,-8.345,113.6058,85.08,67,42,0.81,ID,1612663776
assiniboia,49.6334,-105.9845,-16.6,69,100,5.75,CA,1612663978
morehead,37.2711,-87.1764,37.99,80,90,11.5,US,1612663981
yaan,7.3833,8.5667,73.72,35,0,5.48,NG,1612663985
chokurdakh,70.6333,147.9167,-21.44,86,95,4.14,RU,1612663822
presidencia roque saenz pena,-26.7852,-60.4388,73.99,66,0,1.99,AR,1612663991
ife,7.4667,4.5667,72.41,99,99,1.95,NG,1612663994
luanda,-8.8368,13.2343,78.8,83,75,4.61,AO,1612663998
vozrozhdeniye,44.5503,38.2136,26.01,80,100,7.16,RU,1612664001
chuy,-33.6971,-53.4616,66.79,88,0,8.7,UY,1612663244
margate,51.3813,1.3862,36.0,85,100,8.01,GB,1612663420
hohhot,40.8106,111.6522,15.8,62,0,2.24,CN,1612663841
esperance,-33.8667,121.9,60.8,94,75,12.66,AU,1612663276
hofn,64.2539,-15.2082,32.36,92,91,19.08,IS,1612663712
ushtobe,45.2514,77.9838,36.82,88,100,15.39,KZ,1612664021
inhambane,-23.865,35.3833,76.26,88,93,6.69,MZ,1612663823
meulaboh,4.1363,96.1285,79.41,83,80,4.5,ID,1612663777
paralimni,35.0375,33.9833,55.0,93,0,2.3,CY,1612664031
kalmunai,7.4167,81.8167,77.86,87,24,7.94,LK,1612664034
bonavista,48.6499,-53.1147,39.0,100,89,9.22,CA,1612664037
vernon,50.2581,-119.2691,34.0,80,89,4.61,CA,1612664040
sitka,57.0531,-135.33,32.0,55,20,5.75,US,1612664044
parabel,58.6978,81.4825,32.18,97,100,13.13,RU,1612664047
college,64.8569,-147.8028,-5.01,71,90,1.57,US,1612664050
awbari,26.5921,12.7805,61.16,28,0,13.31,LY,1612664053
loralai,30.3705,68.598,44.01,49,0,0.96,PK,1612664057
taunggyi,20.7833,97.0333,64.49,56,96,2.01,MM,1612664060
neryungri,56.6709,124.6491,-14.57,86,100,2.13,RU,1612664027
chingola,-12.529,27.8838,63.59,99,100,4.41,ZM,1612664066
willowmore,-33.2926,23.4895,62.42,58,0,4.23,ZA,1612664069
grindavik,63.8424,-22.4338,33.8,60,0,18.41,IS,1612664073
egvekinot,66.3167,-179.1667,-4.58,78,0,7.81,RU,1612664076
okakarara,-20.5833,17.4333,68.47,47,99,4.34,NA,1612664079
ponta delgada,37.7333,-25.6667,59.0,88,75,23.02,PT,1612664083
saldanha,-33.0117,17.9442,64.4,88,0,6.91,ZA,1612664035
galesong,-5.3166,119.3661,84.2,79,20,2.3,ID,1612664089
tessalit,20.1986,1.0114,67.71,22,100,6.24,ML,1612664092
haines junction,60.7522,-137.5108,-18.4,69,52,1.14,CA,1612664096
crowley,30.2141,-92.3746,55.99,93,73,3.89,US,1612664099
nouadhibou,20.931,-17.0347,60.8,72,0,21.85,MR,1612664102
pochutla,15.7432,-96.4661,79.0,80,9,3.0,MX,1612664106
rawson,-43.3002,-65.1023,58.26,69,32,19.86,AR,1612663890
kiama,-34.6833,150.8667,79.0,77,23,1.01,AU,1612664113
carutapera,-1.195,-46.02,78.1,86,62,5.93,BR,1612664116
katsuura,35.1333,140.3,57.0,66,20,5.75,JP,1612663978
kanungu,-0.9575,29.7897,64.8,62,94,2.44,UG,1612664122
montbrison,45.6667,4.0833,48.2,76,90,9.22,FR,1612664125
killybegs,54.6333,-8.45,39.0,88,80,10.0,IE,1612664129
salinopolis,-0.6136,-47.3561,79.05,88,100,9.33,BR,1612664132
ponta do sol,32.6667,-17.1,54.0,65,23,7.0,PT,1612664135
emba,48.8264,58.1442,9.75,95,99,10.98,KZ,1612664138
alice springs,-23.7,133.8833,87.8,23,4,13.8,AU,1612663785
mugur-aksy,50.35,90.5,4.89,85,0,6.55,RU,1612664145
raga,8.4596,25.678,53.58,39,0,3.71,SS,1612664098
sorong,-0.8833,131.25,82.0,77,100,1.05,ID,1612664152
erenhot,43.6475,111.9767,7.18,90,0,6.35,CN,1612664155
clarence town,-32.5833,151.7833,84.0,44,40,14.97,AU,1612664160
colac,-38.3333,143.5833,62.01,92,100,1.01,AU,1612664163
barra dos coqueiros,-10.9089,-37.0386,80.6,78,75,10.36,BR,1612664166
darab,28.7519,54.5444,51.66,50,67,3.62,IR,1612664169
mandalgovi,45.7625,106.2708,8.37,84,0,6.02,MN,1612663801
athens,37.9795,23.7162,60.01,81,0,3.0,GR,1612663939
abdanan,32.9926,47.4198,48.02,90,100,5.84,IR,1612664132
north bend,43.4065,-124.2243,48.0,93,90,4.61,US,1612664011
narsaq,60.9167,-46.05,42.8,39,75,20.71,GL,1612664186
leningradskiy,69.3833,178.4167,-10.71,74,17,5.03,RU,1612664189
eydhafushi,5.1033,73.0708,81.48,71,12,11.12,MV,1612663790
pilar,-9.5972,-35.9567,75.2,94,20,4.61,BR,1612664196
pokaran,26.9167,71.9167,56.17,36,0,6.69,IN,1612664199
posyet,42.6508,130.8046,16.74,81,0,11.3,RU,1612664202
hualmay,-11.0964,-77.6139,70.93,78,100,7.43,PE,1612664205
aksarka,66.5606,67.7975,-33.57,82,100,22.01,RU,1612663750
marsaxlokk,35.8419,14.5431,64.0,88,0,9.22,MT,1612664212
kruisfontein,-34.0033,24.7314,64.0,89,1,1.01,ZA,1612664002
bereznik,62.8551,42.7072,-13.83,86,67,9.06,RU,1612664219
carnarvon,-24.8667,113.6333,86.0,100,62,10.36,AU,1612664222
angleton,29.1694,-95.4319,61.0,88,1,3.44,US,1612664225
nuuk,64.1835,-51.7216,33.8,47,20,18.41,GL,1612664201
abu samrah,35.3029,37.1841,49.15,79,0,6.22,SY,1612664125
puerto baquerizo moreno,-0.9,-89.6,76.73,85,0,7.78,EC,1612663941
los llanos de aridane,28.6585,-17.9182,60.8,63,0,4.61,ES,1612664239
algodones,20.3888,-105.4773,72.0,83,40,5.75,MX,1612664242
general roca,-39.0333,-67.5833,75.2,69,0,2.3,AR,1612664005
dabola,10.75,-11.1167,72.61,21,42,3.38,GN,1612664249
hami,42.8,93.45,33.22,72,99,5.53,CN,1612663800
panguna,-6.3164,155.4848,85.46,58,91,1.54,PG,1612664255
banyo,6.75,11.8167,62.8,29,17,1.66,CM,1612664259
puri,19.8,85.85,67.28,68,0,13.47,IN,1612664262
kirakira,-10.4544,161.9205,79.56,86,100,8.79,SB,1612664265
olafsvik,64.8945,-23.7142,33.49,84,24,16.08,IS,1612664111
harrisonville,38.6533,-94.3488,19.4,79,90,12.66,US,1612664186
kimbe,-5.5502,150.1429,87.96,62,91,4.47,PG,1612664275
lucapa,-8.4192,20.7447,67.19,96,100,1.07,AO,1612664278
dedza,-14.3779,34.3332,59.88,100,92,2.46,MW,1612664281
faya,18.3851,42.4509,48.2,81,40,0.85,SA,1612664285
mahibadhoo,3.7833,72.9667,81.3,74,61,12.44,MV,1612663767
atar,20.5169,-13.0499,57.7,39,47,12.48,MR,1612664006
torbay,47.6666,-52.7314,42.8,93,75,24.16,CA,1612663523
toora-khem,52.4675,96.11,-0.02,89,0,2.08,RU,1612664298
rodrigues alves,-7.738,-72.6509,74.62,92,100,1.14,BR,1612663790
vila do maio,15.1333,-23.2167,68.0,60,75,23.02,CV,1612664305
auki,-8.7676,160.7034,77.16,88,100,8.63,SB,1612664111
mananjary,-21.2167,48.3333,78.62,83,88,10.22,MG,1612664311
carnduff,49.1667,-101.8009,-25.01,76,8,8.77,CA,1612663797
roald,62.5833,6.1333,26.6,63,0,16.11,NO,1612664318
kungurtug,50.5994,97.5228,3.61,86,0,1.88,RU,1612664321
olean,42.0776,-78.4297,19.4,45,1,4.61,US,1612664324
zholymbet,51.7433,71.7122,16.07,94,100,30.2,KZ,1612664328
acarau,-2.8856,-40.12,78.1,85,33,10.94,BR,1612664331
trelew,-43.249,-65.3051,57.72,67,23,18.57,AR,1612664334
magdagachi,53.45,125.8,-10.23,84,0,3.78,RU,1612664337
sakakah,29.9697,40.2064,44.6,76,0,5.75,SA,1612664341
changji,44.0167,87.3167,8.6,85,90,2.24,CN,1612664344
chumikan,54.7183,135.315,-7.31,84,100,14.58,RU,1612664347
pangai,-19.8,-174.35,80.13,83,100,22.01,TO,1612663799
urengoy,65.9667,78.3667,-14.48,88,100,12.55,RU,1612664354
longyan,25.1072,117.0225,74.7,41,0,1.74,CN,1612664357
ati,13.2154,18.3353,62.76,26,53,11.65,TD,1612664360
mount abu,24.6,72.7,43.21,59,0,4.47,IN,1612664363
rorvik,64.8621,11.2373,23.4,91,17,7.0,NO,1612664367
kaitangata,-46.2817,169.8464,66.0,75,6,8.01,NZ,1612664293
zhigansk,66.7697,123.3711,-35.57,81,100,13.67,RU,1612664373
magadi,12.9667,77.2333,57.2,88,68,4.0,IN,1612664377
sao filipe,14.8961,-24.4956,69.53,73,18,15.32,CV,1612664380
faanui,-16.4833,-151.75,83.08,65,0,10.07,PF,1612664384
makakilo city,21.3469,-158.0858,78.8,41,1,14.97,US,1612664184
santa maria,-29.6842,-53.8069,66.2,94,0,0.87,BR,1612664390
mandera,3.9366,41.867,72.77,72,0,8.46,KE,1612664394
klaksvik,62.2266,-6.589,35.6,60,40,17.27,FO,1612664400
rio gallegos,-51.6226,-69.2181,52.65,59,29,2.37,AR,1612664403
furstenfeld,47.05,16.0833,37.99,66,100,1.54,AT,1612664406
bourail,-21.5667,165.4833,82.13,72,45,5.14,NC,1612664410
neijiang,29.5835,105.0622,56.66,54,0,2.1,CN,1612664413
houma,29.5958,-90.7195,54.0,100,90,8.05,US,1612664416
harbour breton,47.4833,-55.7983,37.45,79,50,24.58,CA,1612664420
chubbuck,42.9208,-112.4661,37.0,55,1,20.71,US,1612664423
lavrentiya,65.5833,-171.0,-9.98,79,0,1.74,RU,1612664427
tashla,51.7716,52.7427,6.55,92,98,14.94,RU,1612664350
nyagan,62.1406,65.3936,-4.81,91,100,10.78,RU,1612664404
lorengau,-2.0226,147.2712,86.38,66,100,5.55,PG,1612664437
ozinki,51.1786,49.6769,8.2,94,97,11.56,RU,1612664440
kota kinabalu,5.9749,116.0724,86.0,74,20,3.44,MY,1612664443
genhe,50.7833,121.5167,-8.16,84,36,1.77,CN,1612664446
turayf,31.6725,38.6637,39.2,100,0,6.91,SA,1612664187
silver city,32.7701,-108.2803,43.0,26,1,6.91,US,1612664296
puntarenas,9.9763,-84.8384,73.4,83,0,2.3,CR,1612664456
iglino,54.8324,56.4126,1.4,78,75,17.9,RU,1612664459
christchurch,-43.5333,172.6333,68.0,60,0,23.02,NZ,1612664333
usinsk,65.9939,57.5281,-33.3,81,96,14.58,RU,1612664297
chara,56.9064,118.2631,-10.05,75,35,0.45,RU,1612664307
valle hermoso,25.6667,-97.8333,64.4,94,1,2.3,MX,1612664473
sao miguel do araguaia,-13.275,-50.1628,72.21,98,100,8.14,BR,1612664476
puerto escondido,15.85,-97.0667,77.83,74,1,7.2,MX,1612664479
pimentel,-6.8367,-79.9342,70.0,87,100,4.0,PE,1612664462
yinchuan,38.4681,106.2731,31.62,77,0,6.46,CN,1612664486
bristol,41.8334,-71.1662,35.6,48,1,3.44,US,1612664474
nong khai,17.9167,103.0833,78.01,72,0,4.05,TH,1612664492
lodja,-3.4833,23.4333,71.44,86,75,1.36,CD,1612664346
pangnirtung,66.1451,-65.7125,23.5,80,76,3.53,CA,1612664499
gat,31.61,34.7642,55.0,100,0,1.7,IL,1612664502
chiang khong,20.2613,100.4046,73.99,99,43,0.69,TH,1612664272
yulara,-25.2406,130.9889,87.8,22,1,16.11,AU,1612664509
victoria,22.2855,114.1577,75.2,41,0,11.5,HK,1612664389
kawhia,-38.0651,174.8183,82.0,38,87,5.01,NZ,1612664515
tarko-sale,64.9225,77.785,-5.35,92,100,15.82,RU,1612664519
otane,-39.8833,176.6333,78.01,39,90,8.01,NZ,1612664522
kaele,10.1092,14.4508,67.51,24,85,10.78,CM,1612664525
tutoia,-2.7619,-42.2744,80.69,79,97,13.18,BR,1612664529
dwarka,22.2394,68.9678,68.07,52,0,15.46,IN,1612664532
estelle,29.8458,-90.1067,55.0,100,90,8.05,US,1612664535
peruibe,-24.32,-46.9983,71.96,87,78,5.3,BR,1612664538
henties bay,-22.116,14.2845,64.0,90,7,4.0,NA,1612664542
caluquembe,-13.7833,14.6833,62.29,66,100,5.1,AO,1612664545
puerto ayacucho,5.6639,-67.6236,81.55,61,100,5.53,VE,1612664548
buala,-8.145,159.5921,77.7,82,100,4.92,SB,1612664312
bafq,31.6128,55.4107,52.34,40,15,5.59,IR,1612664492
scharding,48.4529,13.4372,36.0,85,99,5.01,AT,1612664558
baykit,61.67,96.37,19.04,94,100,6.02,RU,1612664561
taywarah,33.35,64.4167,32.05,78,0,3.27,AF,1612664564
rosarito,32.3333,-117.0333,62.01,76,1,5.75,MX,1612664568
ust-koksa,50.2696,85.6108,17.1,87,81,2.33,RU,1612664571
weatherford,32.7593,-97.7972,46.0,81,0,1.01,US,1612664574
pevek,69.7008,170.3133,-6.57,87,0,4.9,RU,1612664278
mehamn,71.0357,27.8492,25.79,93,100,22.01,NO,1612664581
farah,32.5,62.5,44.58,50,81,1.1,AF,1612664584
phonhong,18.5007,102.4166,71.6,68,0,2.3,LA,1612664587
bosaso,11.2842,49.1816,73.2,74,60,5.48,SO,1612664591
garden city,42.3256,-83.331,18.0,62,90,9.22,US,1612664546
ayagoz,47.9714,80.4392,28.6,97,100,24.99,KZ,1612664597
kapoeta,4.7717,33.5903,71.62,22,1,6.02,SS,1612664600
airai,-8.9266,125.4092,72.81,73,63,4.99,TL,1612664604
edson,53.5835,-116.4356,-13.0,70,1,4.61,CA,1612664309
chippewa falls,44.9369,-91.3929,-5.8,59,1,10.36,US,1612664102
rocha,-34.4833,-54.3333,63.48,94,3,4.12,UY,1612664546
kalivia,35.0583,25.2272,55.99,87,0,6.91,GR,1612664617
milkovo,54.7167,158.6167,20.86,96,100,1.54,RU,1612664620
marawi,7.9986,124.2928,81.0,83,74,3.0,PH,1612664336
corinth,37.9407,22.9573,53.01,81,0,3.0,GR,1612664485
brigantine,39.4101,-74.3646,39.99,69,1,1.32,US,1612664630
nchelenge,-9.3451,28.734,71.94,84,100,10.38,ZM,1612664633
tokmak,47.2514,35.7058,25.48,87,85,9.8,UA,1612664636
namibe,-15.1961,12.1522,70.61,81,35,5.08,AO,1612664640
borger,52.9233,6.7931,28.99,87,100,15.01,NL,1612664643
hvittingfoss,59.4833,10.0167,16.0,1,0,6.98,NO,1612664646
fortuna,40.5982,-124.1573,48.99,87,90,9.22,US,1612664649
volkhov,59.9258,32.3382,6.01,53,98,8.21,RU,1612664653
kudahuvadhoo,2.6708,72.8944,80.8,78,12,14.14,MV,1612664656
nguru,12.8791,10.4526,60.98,28,99,9.08,NG,1612664660
ambilobe,-13.2,49.05,72.72,94,99,2.75,MG,1612664663
boende,-0.2167,20.8667,74.14,82,57,1.86,CD,1612664666
sangin,32.0728,64.8359,49.06,42,69,1.97,AF,1612664669
obera,-27.4871,-55.1199,61.16,90,0,2.39,AR,1612664675
